hour,elec_all,elec_office,elec_hotel,elec_school
0,32.59480108349321,254.3711727585939,306.60015612965947,137.79194728702012
1,30.749667189460716,246.20564004954636,262.4052795400818,138.83691375453034
2,30.442758607027454,253.6280780650759,233.94742608900913,132.699840598927
3,35.441500468507954,282.71927355788904,218.58367781482892,138.86241532207845
4,43.20359711421347,350.17326321528157,220.941989459466,140.48352408047413
5,53.7021020903101,421.57739175343164,242.8943918469773,157.0834203723196
6,78.7056458404413,658.6993748402562,299.16652480296773,238.6302735912465
7,87.2701801362351,736.6320052760373,361.3966757318045,284.04229111272576
8,94.67601215640087,785.4615819797388,397.6010887516263,321.4254023662106
9,97.5205678092219,813.3416117306489,398.74217774410664,343.05600181439365
10,97.654630540731,825.6558680738386,402.453150923985,348.58654436006424
11,96.21032096205161,815.4033595038293,389.2729435586609,344.44390409418054
12,93.8468429360525,808.4190289714696,355.84260470466324,335.5106367519373
13,94.81461827283005,814.084563136743,337.34684463992244,317.3409694202885
14,94.05224720461855,809.3204546208823,333.44764355807456,281.90222121675214
15,93.4581509035357,763.7127335611243,335.6594790812307,238.13546710966838
16,96.34177624840858,710.6445860528208,312.29574190260416,212.09314796486487
17,94.32212549583059,649.1371408199927,329.2434482606526,185.29821349491152
18,89.57437094260611,594.685011684104,339.3202422862602,151.96902720657494
19,80.57904397897492,503.20583314732295,341.79888741500656,147.6139657303663
20,68.00809342890471,382.8481560314724,343.51221279846385,147.87263026183675
21,51.11983914196825,300.98977816221213,362.11760681936624,137.78891482247596
22,38.24492617423247,257.9186909098034,388.3101391295052,137.48148259227554
23,34.79376126874267,253.15992171683186,407.07789744330245,138.57187431270145
0,32.62786367642314,234.65443557235713,236.44632631447973,137.40718787463334
1,32.08220988152057,241.43562997370606,227.29431123073746,137.29244070545766
2,31.9125708492975,245.92752437496935,214.86489164876323,138.14845263208593
3,33.03989562611686,250.18925408942277,214.3633559439359,137.67233757184485
4,33.71157487631805,259.4626065328132,218.44669321207263,137.28338028721998
5,35.92590581785711,293.60573001284325,248.94202406442997,138.11962102702773
6,62.37832899004221,514.5482616524165,307.4822191444012,161.49040184249574
7,60.89574104477511,576.5219987157164,386.40945667676175,136.97382894683753
8,74.5921486186388,594.725177547752,437.0377227195747,125.2752824367502
9,79.69310403543476,599.5208907872316,411.676659487242,121.68752872569891
10,82.86187023633966,597.139279021219,380.93997559376714,120.04388681488705
11,80.50953640368783,591.1679791174976,364.3341568371889,120.0032375560808
12,76.67971819652801,582.730095103007,350.29361140505864,118.25017542730595
13,75.97505484961827,537.910201551067,339.9288513344182,118.06785670201491
14,73.43585986065621,468.2300723558201,335.6979139841593,118.86526825996708
15,71.73438674603273,374.8309319954246,339.6554599455479,117.67193897512315
16,77.55735245564102,367.99460890227397,321.20235296299944,132.36693640730482
17,80.17076847311763,344.01615609301757,357.00223814381087,148.36327395725993
18,71.13507918754662,221.9602419531123,422.3140482020399,148.03799659174572
19,66.16470509588054,222.30288687386795,441.43437146040225,148.46810598991675
20,64.91443591401232,219.4400239222983,445.3397140431652,150.12086109659992
21,46.55564910728809,236.04770220972583,442.20174504926155,138.01188137477357
22,36.2999687719318,246.38879987633558,379.4774207386054,136.96953897566675
23,34.02742424311178,250.762414894146,305.60653956047753,138.2467208084985
0,31.57575265096726,246.70861041094187,261.77621353023187,137.27887374096957
1,30.94332143129607,240.1924059064047,253.0577256387649,136.56053582103206
2,30.410788645705406,240.79628339870098,238.06666209642506,137.6786431227975
3,32.083306449205764,249.09856239394836,236.87431988654018,137.3237712717299
4,35.95071752402633,254.68533694034673,251.6495020650126,136.7125567471091
5,42.45262981876967,257.9078551671623,281.777906052842,137.8942011379458
6,55.05007451765091,265.43907827762297,313.13501719802804,163.0137783714311
7,55.59300725916822,236.08998131844285,365.3721924806842,135.15295845778445
8,58.44801813906803,218.94186890957903,414.17986991810346,124.30465180076065
9,59.60831007515366,220.24711283776332,399.74889348697445,120.58616511508203
10,58.7276391117525,220.71397315519184,366.1237919626546,119.46592013194717
11,57.59439709941915,219.35490420705312,352.16541127001636,120.53305764942264
12,57.34758429228902,215.36583385416384,341.9241578872335,118.57743292248166
13,57.04487264667022,217.22901379173268,339.20156326800213,117.95096309067705
14,56.982735894899406,217.61650300335194,340.2681280665944,119.06980970573511
15,58.29725192902834,220.27822957764548,347.2384094396967,118.57196406791651
16,64.66766043126738,243.50180673618496,321.9450430981696,132.3908252222323
17,70.80692266912592,260.8325641235486,346.8036881427132,148.16998439622603
18,71.45215043140865,263.67683500125236,387.4875382307108,147.49232920873413
19,67.91651635748275,263.3728035069716,404.823179150878,147.44057908644655
20,60.27041724386523,261.64124665198676,413.8612607622392,149.41875004534148
21,49.65602993375793,264.26224666282917,412.18733057263483,137.1308249187346
22,39.38720426274197,269.49065483053795,368.44285533005893,137.21559590273375
23,34.62840692954341,277.70424389514966,322.70539784960386,137.78426722488655
0,35.894601753104595,301.8946628260127,318.89886053577567,137.68890138350878
1,35.5271920553169,302.1579192648284,280.7958962752521,137.57569519681815
2,37.02767849998751,323.4441126955005,256.24938367146837,138.0819529878101
3,42.645547199683044,351.6509617633635,243.97117644591705,138.45267573514627
4,52.24061573840187,434.3433682290474,248.4723261407689,140.1800761731712
5,68.64217885993493,597.7923520364328,282.24927558825317,162.54279499622277
6,92.58245369463205,792.101204849404,337.4107040402671,247.17928514076678
7,104.56629451916861,888.7742701001968,402.0632092888179,290.32593658701757
8,112.63902872765647,945.3261721429164,441.59955245414386,325.59513819395045
9,114.40669515722142,946.1593459687713,438.1526936189744,345.6397018773208
10,112.38590171371844,923.434719432703,433.58711625791915,350.2211870351683
11,109.24669374754086,895.3271831272599,415.1871580306089,345.15963731571503
12,106.41610894307698,882.6952373256565,383.20565014122724,335.65723116508804
13,105.97885389442162,863.1530342291248,356.87995739152626,318.27756760211605
14,105.21740725820607,859.3130122006756,352.22287191454836,283.33360357886073
15,106.43028680064772,834.0423339717208,363.1984406190967,240.78320862082808
16,112.5643403119881,824.733796431974,354.0943064474866,217.08220131013542
17,114.52588853621329,802.1752766735209,387.71903101578357,193.7588520304736
18,110.51444627431842,715.0449797510428,397.4758546784619,162.52864986239814
19,101.0487364380126,593.1665140191363,400.87953367296393,160.32156247851367
20,88.23140531481083,475.4010866002561,416.70038074630753,163.2230366890095
21,67.15967051336445,382.847624891488,433.6139824661965,140.69219013430467
22,50.78518245095127,335.2023267323313,455.20894215696114,141.40703906651845
23,48.2904768208013,330.8234959831447,475.08336067610634,142.0457434772561
0,48.66178508121434,338.1803816760569,385.89894694184096,142.3099441317852
1,48.582835522495465,339.4945126367056,351.51986947513916,142.9087964701921
2,49.07178016768858,351.8338487077688,320.2185962032921,143.12175237307721
3,54.06582833563882,372.9857986723442,297.22017767466906,143.36630887547716
4,64.63037889004646,456.9981710863654,304.5413725519913,145.01371862996135
5,83.05456001190355,628.8937763104532,338.9488844364344,167.36483278703474
6,106.07665992521012,805.9714738821222,381.97307047869555,268.5444557961279
7,117.18104432141723,898.6820354470644,437.9642378783819,303.6058066607696
8,122.11069584428496,959.1842981154426,473.3879332269824,331.7033154419069
9,120.29581158861882,975.9381238494894,463.86973512908526,347.2975595750327
10,114.60617959238375,938.8733880122707,448.3718489859519,350.25538960666125
11,108.74378564299114,908.0252526758213,423.44855831338015,344.0897228183473
12,102.95670956892877,870.7436201770142,381.1600467611216,334.4628118629451
13,100.20943499090829,829.2009545110966,345.94045412717463,317.0131390347636
14,96.68554025617593,800.3046284797283,331.5524471609656,282.1120369057467
15,94.78595286201133,746.9504894173715,333.07356045711384,238.19632546442608
16,98.65368804608579,704.576788096312,314.402881636048,211.73430650442788
17,100.02919486454147,669.0836735918608,343.17704855592893,186.34237187314938
18,96.20699363891565,599.7898338989361,355.68649235649355,154.3235912523585
19,87.78042172024979,511.23443318035913,363.71819122277685,151.63240085870348
20,74.56823910677589,390.3231631603242,367.52436878020217,152.717067394645
21,55.791801487297974,308.387448010668,385.3236975574167,138.34182107133313
22,41.337229670296175,271.18997411283334,412.6976414304691,138.31301194454178
23,37.89135917436791,268.6322339599532,430.7196088308581,138.69030978746187
0,37.4251174910113,276.92037549575497,344.17660564740663,138.270315462551
1,37.52456211079428,284.8820784260728,309.84884535804395,138.67267036046604
2,38.541473567011124,292.8451572523753,281.8870082148441,138.98492557288046
3,43.977934722592906,314.9185444801224,264.49437826261925,139.15120763990396
4,53.27170784952262,381.35225628186015,265.87199614819065,140.68649224232385
5,70.4585706477565,528.3703371466294,300.15267505009336,163.27870898082122
